order_id,customer_id,order_value,cancellation_reason,cancelled,device_type,shipping_method,customer_tenure_days,order_date,product_type
1000,C0861,696.04,Product Quality,0,Mobile,Standard,771,2024-08-13,Electronics
1001,C1295,309.51,Shipping Delay,0,Desktop,Standard,769,2024-07-02,Beauty
1002,C1131,303.47,Payment Issue,0,Mobile,Standard,972,2024-03-31,Home
1003,C1096,498.64,Product Quality,0,Desktop,Express,1190,2024-11-03,Clothing
1004,C1639,510.13,Payment Issue,0,Mobile,Standard,1744,2024-07-07,Home
1005,C2170,380.74,Out of Stock,0,Desktop,Standard,406,2024-10-29,Home
1006,C0467,360.02,Changed Mind,0,Tablet,Standard,1068,2024-12-03,Clothing
1007,C1239,400.38,Out of Stock,0,Mobile,Standard,841,2024-11-17,Beauty
1008,C0331,690.23,Changed Mind,0,Tablet,Express,716,2024-05-12,Electronics
1009,C1483,374.32,Other,0,Mobile,Standard,358,2024-06-20,Home
1010,C2136,752.55,Changed Mind,0,Mobile,Standard,553,2024-09-06,Home
1011,C2920,408.16,Payment Issue,0,Desktop,Standard,284,2024-03-01,Home
1012,C0131,759.87,Changed Mind,0,Mobile,Standard,399,2024-02-19,Beauty
1013,C1686,667.94,Other,0,Mobile,Standard,1474,2024-08-10,Clothing
1014,C0770,296.32,Shipping Delay,0,Mobile,Standard,1635,2024-06-20,Clothing
1015,C2392,692.28,Product Quality,0,Desktop,Standard,1467,2024-11-14,Clothing
1016,C1516,96.95,Other,0,Desktop,Standard,387,2024-08-12,Clothing
1017,C2854,740.79,Other,0,Mobile,Standard,1379,2024-07-09,Clothing
1018,C2434,509.0,Product Quality,0,Tablet,Standard,783,2024-12-24,Clothing
1019,C1216,52.97,Payment Issue,0,Desktop,Express,424,2024-09-21,Home
1020,C0956,518.96,Customer Service,0,Tablet,Standard,1029,2024-08-31,Home
1021,C2325,779.66,Payment Issue,0,Mobile,Standard,1577,2024-03-19,Clothing
1022,C1185,65.14,Product Quality,0,Desktop,Standard,440,2024-12-08,Clothing
1023,C0460,448.2,Shipping Delay,0,Desktop,Standard,355,2024-12-30,Beauty
1024,C0022,600.76,Product Quality,0,Mobile,Express,918,2024-01-22,Beauty
1025,C2301,650.1,Out of Stock,0,Tablet,Standard,764,2024-02-05,Toys
1026,C0748,336.92,Shipping Delay,0,Mobile,Standard,1611,2024-11-25,Home
1027,C2905,171.29,Other,0,Mobile,Standard,553,2024-06-04,Clothing
1028,C0475,43.45,Payment Issue,0,Tablet,Standard,267,2024-02-25,Home
1029,C1083,467.98,Changed Mind,0,Tablet,Standard,991,2024-12-20,Toys
1030,C2559,367.8,Shipping Delay,0,Mobile,Standard,1240,2024-09-04,Beauty
1031,C2048,759.51,Other,0,Mobile,Standard,63,2024-09-17,Toys
1032,C2748,57.88,Payment Issue,0,Desktop,Express,441,2024-09-16,Electronics
1033,C0976,551.46,Payment Issue,0,Tablet,Standard,1714,2024-01-15,Beauty
1034,C1807,29.72,Payment Issue,1,Desktop,Standard,540,2024-07-06,Home
1035,C0190,145.43,Payment Issue,0,Desktop,Express,1298,2024-01-26,Beauty
1036,C2735,368.33,Other,0,Desktop,Standard,469,2024-01-23,Toys
1037,C0563,369.35,Product Quality,0,Mobile,Express,1239,2024-04-12,Clothing
1038,C1900,551.7,Shipping Delay,0,Tablet,Express,1589,2024-01-29,Toys
1039,C1268,729.07,Out of Stock,1,Mobile,Standard,877,2024-12-07,Toys
1040,C2880,514.84,Product Quality,0,Desktop,Standard,1615,2024-02-26,Clothing
1041,C1529,763.29,Payment Issue,0,Mobile,Standard,1217,2024-03-02,Home
1042,C0647,706.48,Changed Mind,0,Mobile,Express,711,2024-02-17,Home
1043,C2069,471.75,Out of Stock,0,Desktop,Standard,12,2024-02-04,Beauty
1044,C2889,668.7,Payment Issue,1,Tablet,Standard,221,2024-02-15,Toys
1045,C2215,517.64,Changed Mind,1,Desktop,Express,1728,2024-02-02,Beauty
1046,C1298,72.06,Changed Mind,0,Desktop,Express,1419,2024-11-22,Clothing
1047,C2436,595.05,Payment Issue,0,Mobile,Express,880,2024-08-13,Electronics
1048,C0601,84.98,Payment Issue,0,Desktop,Standard,838,2024-09-22,Home
1049,C2364,479.33,Product Quality,0,Mobile,Express,751,2024-08-03,Clothing
1050,C2062,565.09,Payment Issue,0,Mobile,Standard,269,2024-08-04,Home
1051,C0242,62.56,Other,0,Mobile,Standard,1321,2024-06-24,Beauty
1052,C2042,192.33,Payment Issue,1,Desktop,Standard,1634,2024-02-13,Electronics
1053,C2825,733.38,Product Quality,0,Tablet,Standard,731,2024-08-06,Toys
1054,C2613,496.89,Other,0,Desktop,Standard,843,2024-05-05,Home
1055,C2946,204.57,Other,0,Mobile,Standard,615,2024-11-14,Toys
1056,C1364,555.64,Other,1,Mobile,Standard,1455,2024-10-31,Beauty
1057,C2140,481.45,Changed Mind,0,Mobile,Standard,1431,2024-07-18,Home
1058,C1391,406.24,Changed Mind,0,Mobile,Standard,64,2024-03-25,Beauty
1059,C1479,781.19,Changed Mind,0,Mobile,Express,1680,2024-02-10,Toys
1060,C2557,549.93,Payment Issue,0,Desktop,Standard,1061,2024-07-29,Beauty
1061,C0776,306.6,Payment Issue,1,Tablet,Express,27,2024-12-19,Beauty
1062,C0035,642.06,Other,0,Mobile,Standard,1312,2024-02-08,Beauty
1063,C2254,708.82,Out of Stock,0,Mobile,Standard,236,2024-12-28,Clothing
1064,C1956,108.92,Shipping Delay,0,Desktop,Standard,1149,2024-09-25,Clothing
1065,C1586,168.44,Other,0,Desktop,Standard,383,2024-12-27,Home
1066,C1022,180.82,Shipping Delay,0,Desktop,Express,325,2024-06-29,Beauty
1067,C2614,556.06,Shipping Delay,0,Mobile,Standard,84,2024-08-18,Beauty
1068,C1130,486.4,Product Quality,0,Mobile,Standard,748,2024-03-10,Beauty
1069,C1501,499.0,Payment Issue,1,Tablet,Standard,245,2024-11-08,Clothing
1070,C0703,753.21,Changed Mind,0,Mobile,Standard,387,2024-03-16,Toys
1071,C2450,622.97,Other,0,Desktop,Standard,928,2024-10-02,Beauty
1072,C2778,111.07,Other,0,Mobile,Standard,265,2024-08-21,Electronics
1073,C1580,284.53,Other,1,Mobile,Express,760,2024-11-13,Home
1074,C0162,353.96,Out of Stock,0,Desktop,Express,803,2024-11-14,Clothing
1075,C0202,322.81,Other,0,Mobile,Standard,1228,2024-05-15,Toys
1076,C1982,538.75,Payment Issue,0,Desktop,Express,227,2024-06-02,Electronics
1077,C0996,714.6,Payment Issue,0,Mobile,Standard,239,2024-10-20,Beauty
1078,C2318,251.78,Changed Mind,0,Tablet,Standard,1096,2024-12-13,Clothing
1079,C0816,445.98,Out of Stock,1,Mobile,Standard,1694,2024-04-08,Beauty
1080,C0456,633.63,Changed Mind,1,Mobile,Express,387,2024-12-29,Home
1081,C1276,338.81,Changed Mind,1,Mobile,Standard,377,2024-12-26,Clothing
1082,C1017,142.81,Payment Issue,0,Desktop,Standard,211,2024-12-28,Electronics
1083,C2344,,Out of Stock,1,Desktop,Standard,1671,2024-12-23,Toys
1084,C2768,53.63,Product Quality,1,Mobile,Standard,794,2024-05-09,Toys
1085,C0338,754.48,Shipping Delay,1,Mobile,Standard,675,2024-01-07,Home
1086,C0879,69.11,Payment Issue,0,Desktop,Standard,648,2024-04-14,Toys
1087,C1077,356.38,Out of Stock,0,Desktop,Standard,170,2024-11-02,Toys
1088,C0792,428.61,Shipping Delay,0,Desktop,Standard,1175,2024-02-19,Home
1089,C2265,788.39,Out of Stock,1,Desktop,Express,1700,2024-08-11,Electronics
1090,C0764,141.16,Changed Mind,0,Mobile,Express,808,2024-03-04,Clothing
1091,C2236,100.4,Shipping Delay,0,Mobile,Standard,103,2024-06-29,Clothing
1092,C0380,16.88,Other,1,Mobile,Express,1245,2024-03-15,Home
1093,C0493,132.9,Payment Issue,0,Tablet,Express,1305,2024-09-22,Beauty
1094,C1181,173.75,Changed Mind,0,Mobile,Standard,1411,2024-07-07,Home
1095,C2063,508.16,Changed Mind,1,Mobile,Express,371,2024-07-01,Home
1096,C0065,183.57,Out of Stock,1,Tablet,Standard,128,2024-12-20,Home
1097,C2569,26.21,Payment Issue,0,Mobile,Standard,1427,2024-03-08,Home
1098,C1368,663.03,Payment Issue,1,Desktop,Standard,219,2024-06-18,Toys
1099,C1153,298.82,Changed Mind,0,Desktop,Standard,1196,2024-11-17,Toys
1100,C2028,289.42,Other,0,Tablet,Standard,471,2024-06-20,Electronics
1101,C2696,248.96,Product Quality,0,Mobile,Standard,987,2024-10-10,Home
1102,C1496,780.54,Shipping Delay,0,Mobile,Standard,1476,2024-04-16,Clothing
1103,C1163,144.39,Customer Service,0,Tablet,Express,607,2024-12-31,Beauty
1104,C1523,719.61,Payment Issue,0,Mobile,Standard,1525,2024-04-20,Toys
1105,C2641,623.67,Other,1,Mobile,Express,1075,2024-03-18,Clothing
1106,C0392,70.42,Out of Stock,0,Desktop,Standard,93,2024-07-04,Toys
1107,C1699,,Changed Mind,1,Mobile,Standard,1599,2024-09-09,Electronics
1108,C0419,224.38,Customer Service,0,Tablet,Standard,1044,2024-08-23,Beauty
1109,C2337,87.88,Customer Service,0,Desktop,Standard,105,2024-04-02,Toys
1110,C0379,665.16,Customer Service,1,Mobile,Standard,1223,2024-05-09,Beauty
1111,C1797,568.27,Payment Issue,1,Mobile,Standard,1375,2024-07-01,Beauty
1112,C2279,497.6,Other,0,Mobile,Standard,1304,2024-02-03,Clothing
1113,C2089,133.22,Other,0,Mobile,Standard,1305,2024-10-29,Toys
1114,C2183,388.01,Changed Mind,0,Desktop,Express,611,2024-08-09,Beauty
1115,C0201,626.64,Payment Issue,0,Mobile,Standard,848,2024-10-08,Home
1116,C1864,249.86,Payment Issue,1,Mobile,Standard,1562,2024-12-05,Beauty
1117,C0780,256.23,Other,0,Tablet,Standard,1268,2024-01-01,Beauty
1118,C2978,12.48,Out of Stock,0,Mobile,Standard,947,2024-04-06,Toys
1119,C0503,147.65,Changed Mind,0,Mobile,Standard,1598,2024-03-27,Home
1120,C2455,701.57,Changed Mind,0,Tablet,Standard,853,2024-11-26,Beauty
1121,C1752,358.98,Changed Mind,0,Mobile,Standard,428,2024-09-08,Toys
1122,C0805,787.55,Shipping Delay,0,Tablet,Standard,1061,2024-12-29,Toys
1123,C2147,322.61,Changed Mind,0,Desktop,Standard,1442,2024-01-15,Beauty
1124,C2732,575.0,Other,0,Desktop,Standard,301,2024-05-21,Electronics
1125,C1896,232.72,Shipping Delay,0,Desktop,Express,638,2024-11-06,Electronics
1126,C2774,297.41,Product Quality,0,Mobile,Express,70,2024-10-15,Clothing
1127,C1571,160.67,Changed Mind,0,Desktop,Standard,645,2024-03-10,Electronics
1128,C0961,284.18,Payment Issue,1,Desktop,Standard,1788,2024-11-07,Electronics
1129,C2661,442.32,Out of Stock,0,Mobile,Standard,524,2024-10-05,Toys
1130,C1486,793.5,Changed Mind,0,Mobile,Standard,173,2024-02-23,Toys
1131,C2691,534.72,Payment Issue,1,Desktop,Standard,89,2024-12-11,Beauty
1132,C1029,167.4,Other,0,Mobile,Standard,367,2024-10-28,Beauty
1133,C0503,45.52,Changed Mind,0,Desktop,Express,800,2024-09-08,Toys
1134,C2815,109.82,Payment Issue,0,Desktop,Standard,1230,2024-09-03,Beauty
1135,C0398,454.42,Payment Issue,0,Mobile,Standard,1085,2024-05-13,Toys
1136,C0871,614.48,Changed Mind,0,Mobile,Standard,318,2024-08-31,Electronics
1137,C2843,,Other,0,Mobile,Express,823,2024-08-26,Beauty
1138,C0393,22.5,Changed Mind,0,Mobile,Standard,550,2024-01-17,Electronics
1139,C0207,422.98,Changed Mind,0,Mobile,Standard,59,2024-12-14,Clothing
1140,C1039,381.99,Shipping Delay,1,Desktop,Express,1128,2024-10-05,Beauty
1141,C1882,528.28,Changed Mind,0,MOBILE,Standard,1262,2024-08-20,Toys
1142,C2940,452.07,Payment Issue,0,Desktop,Standard,1485,2024-12-17,Toys
1143,C1485,552.76,Payment Issue,1,Desktop,Express,126,2024-06-02,Clothing
1144,C0864,,Changed Mind,0,Mobile,Express,82,2024-07-04,Toys
1145,C2791,102.44,Payment Issue,0,Desktop,Standard,1243,2024-03-23,Electronics
1146,C0564,641.78,Payment Issue,1,Mobile,Standard,1431,2024-02-24,Toys
1147,C1021,107.35,Customer Service,0,Mobile,Standard,945,2024-03-02,Clothing
1148,C0096,561.84,Payment Issue,0,Mobile,Standard,1640,2024-12-23,Home
1149,C1924,338.75,Product Quality,1,Mobile,Standard,585,2024-02-28,Home
1150,C1758,415.94,Product Quality,0,Mobile,Express,646,2024-05-21,Electronics
1151,C2533,723.61,Out of Stock,0,Mobile,Standard,1453,2024-05-28,Home
1152,C2279,713.01,Changed Mind,1,Mobile,Standard,889,2024-06-22,Toys
1153,C2797,656.11,Payment Issue,0,Tablet,Standard,573,2024-11-06,Clothing
1154,C1679,413.02,Product Quality,1,Mobile,Standard,512,2024-03-02,Electronics
1155,C0541,591.63,Shipping Delay,0,Desktop,Standard,1102,2024-06-15,Home
1156,C1060,415.19,Shipping Delay,0,Mobile,Standard,64,2024-06-18,Toys
1157,C2573,696.99,Payment Issue,0,Mobile,Express,182,2024-10-30,Toys
1158,C1184,328.19,Other,0,Mobile,Standard,1089,2024-04-12,Beauty
1159,C1723,776.49,Payment Issue,0,Mobile,Standard,834,2024-01-28,Beauty
1160,C1820,746.53,Changed Mind,0,Desktop,Standard,1231,2024-03-24,Clothing
1161,C2626,595.87,Changed Mind,0,Mobile,Standard,53,2024-05-13,Electronics
1162,C2730,230.74,Payment Issue,0,Mobile,Standard,1244,2024-02-28,Home
1163,C2605,114.01,Out of Stock,0,Mobile,Express,235,2024-03-30,Home
1164,C1598,685.22,Product Quality,0,Mobile,Express,888,2024-03-10,Toys
1165,C2694,140.59,Customer Service,1,Desktop,Standard,611,2024-07-03,Home
1166,C0796,684.87,Other,0,Mobile,Standard,958,2024-02-29,Clothing
1167,C1052,397.7,Out of Stock,0,Mobile,Standard,437,2024-05-24,Beauty
1168,C1644,331.18,Shipping Delay,1,Mobile,Standard,1003,2024-06-16,Toys
1169,C1364,723.52,Payment Issue,0,Mobile,Standard,1126,2024-03-06,Electronics
